Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;07 Castilla y León;Total;2017;2.425.801
Total;07 Castilla y León;Total;2016;2.447.519
Total;07 Castilla y León;Total;2015;2.472.052
Total;07 Castilla y León;Total;2014;2.494.790
Total;07 Castilla y León;Total;2013;2.519.875
Total;07 Castilla y León;Total;2012;2.546.078
Total;07 Castilla y León;Total;2011;2.558.463
Total;07 Castilla y León;Total;2010;2.559.515
Total;07 Castilla y León;Total;2009;2.563.521
Total;07 Castilla y León;Total;2008;2.557.330
Total;07 Castilla y León;Total;2007;2.528.417
Total;07 Castilla y León;Total;2006;2.523.020
Total;07 Castilla y León;Total;2005;2.510.849
Total;07 Castilla y León;Total;2004;2.493.918
Total;07 Castilla y León;Total;2003;2.487.646
Total;07 Castilla y León;Total;2002;2.480.369
Total;07 Castilla y León;Total;2001;2.479.425
Total;07 Castilla y León;Total;2000;2.479.118
Total;07 Castilla y León;Total;1999;2.488.062
Total;07 Castilla y León;Total;1998;2.484.603
Total;07 Castilla y León;Total;1997;""
Total;07 Castilla y León;Total;1996;2.508.496
Total;07 Castilla y León;Hombres;2021;1.173.114
Total;07 Castilla y León;Hombres;2020;1.178.846
Total;07 Castilla y León;Hombres;2019;1.181.401
Total;07 Castilla y León;Hombres;2018;1.186.363
Total;07 Castilla y León;Hombres;2017;1.195.251
Total;07 Castilla y León;Hombres;2016;1.206.775
Total;07 Castilla y León;Hombres;2015;1.219.616
Total;07 Castilla y León;Hombres;2014;1.232.250
Total;07 Castilla y León;Hombres;2013;1.246.377
Total;07 Castilla y León;Hombres;2012;1.261.141
Total;07 Castilla y León;Hombres;2011;1.267.671
Total;07 Castilla y León;Hombres;2010;1.268.860
Total;07 Castilla y León;Hombres;2009;1.272.020
Total;07 Castilla y León;Hombres;2008;1.269.338
Total;07 Castilla y León;Hombres;2007;1.251.082
Total;07 Castilla y León;Hombres;2006;1.247.158
Total;07 Castilla y León;Hombres;2005;1.240.450
Total;07 Castilla y León;Hombres;2004;1.231.258
Total;07 Castilla y León;Hombres;2003;1.228.177
Total;07 Castilla y León;Hombres;2002;1.223.935
Total;07 Castilla y León;Hombres;2001;1.222.612
Total;07 Castilla y León;Hombres;2000;1.221.973
Total;07 Castilla y León;Hombres;1999;1.227.156
Total;07 Castilla y León;Hombres;1998;1.225.516
Total;07 Castilla y León;Hombres;1997;""
Total;07 Castilla y León;Hombres;1996;1.238.129
Total;07 Castilla y León;Mujeres;2021;1.210.025
Total;07 Castilla y León;Mujeres;2020;1.216.072
Total;07 Castilla y León;Mujeres;2019;1.218.147
Total;07 Castilla y León;Mujeres;2018;1.222.801
Total;07 Castilla y León;Mujeres;2017;1.230.550
Total;07 Castilla y León;Mujeres;2016;1.240.744
Total;07 Castilla y León;Mujeres;2015;1.252.436
Total;07 Castilla y León;Mujeres;2014;1.262.540
Total;07 Castilla y León;Mujeres;2013;1.273.498
Total;07 Castilla y León;Mujeres;2012;1.284.937
Total;07 Castilla y León;Mujeres;2011;1.290.792
Total;07 Castilla y León;Mujeres;2010;1.290.655
Total;07 Castilla y León;Mujeres;2009;1.291.501
Total;07 Castilla y León;Mujeres;2008;1.287.992
Total;07 Castilla y León;Mujeres;2007;1.277.335
Total;07 Castilla y León;Mujeres;2006;1.275.862
Total;07 Castilla y León;Mujeres;2005;1.270.399
Total;07 Castilla y León;Mujeres;2004;1.262.660
Total;07 Castilla y León;Mujeres;2003;1.259.469
Total;07 Castilla y León;Mujeres;2002;1.256.434
Total;07 Castilla y León;Mujeres;2001;1.256.813
Total;07 Castilla y León;Mujeres;2000;1.257.145
Total;07 Castilla y León;Mujeres;1999;1.260.906
Total;07 Castilla y León;Mujeres;1998;1.259.087
Total;07 Castilla y León;Mujeres;1997;""
Total;07 Castilla y León;Mujeres;1996;1.270.367
Total;08 Castilla - La Mancha;Total;2021;2.049.562
Total;08 Castilla - La Mancha;Total;2020;2.045.221
Total;08 Castilla - La Mancha;Total;2019;2.032.863
Total;08 Castilla - La Mancha;Total;2018;2.026.807
Total;08 Castilla - La Mancha;Total;2017;2.031.479
Total;08 Castilla - La Mancha;Total;2016;2.041.631
Total;08 Castilla - La Mancha;Total;2015;2.059.191
Total;08 Castilla - La Mancha;Total;2014;2.078.611
Total;08 Castilla - La Mancha;Total;2013;2.100.998
Total;08 Castilla - La Mancha;Total;2012;2.121.888
Total;08 Castilla - La Mancha;Total;2011;2.115.334
Total;08 Castilla - La Mancha;Total;2010;2.098.373
Total;08 Castilla - La Mancha;Total;2009;2.081.313
Total;08 Castilla - La Mancha;Total;2008;2.043.100
Total;08 Castilla - La Mancha;Total;2007;1.977.304
Total;08 Castilla - La Mancha;Total;2006;1.932.261
Total;08 Castilla - La Mancha;Total;2005;1.894.667
Total;08 Castilla - La Mancha;Total;2004;1.848.881
Total;08 Castilla - La Mancha;Total;2003;1.815.781
Total;08 Castilla - La Mancha;Total;2002;1.782.038
Total;08 Castilla - La Mancha;Total;2001;1.755.053
Total;08 Castilla - La Mancha;Total;2000;1.734.261
Total;08 Castilla - La Mancha;Total;1999;1.726.199
Total;08 Castilla - La Mancha;Total;1998;1.716.152
Total;08 Castilla - La Mancha;Total;1997;""
Total;08 Castilla - La Mancha;Total;1996;1.712.529
Total;08 Castilla - La Mancha;Hombres;2021;1.026.128
Total;08 Castilla - La Mancha;Hombres;2020;1.023.740
Total;08 Castilla - La Mancha;Hombres;2019;1.016.954
Total;08 Castilla - La Mancha;Hombres;2018;1.014.199
Total;08 Castilla - La Mancha;Hombres;2017;1.016.761
Total;08 Castilla - La Mancha;Hombres;2016;1.022.722
Total;08 Castilla - La Mancha;Hombres;2015;1.032.673
Total;08 Castilla - La Mancha;Hombres;2014;1.043.880
Total;08 Castilla - La Mancha;Hombres;2013;1.056.960
Total;08 Castilla - La Mancha;Hombres;2012;1.069.648
Total;08 Castilla - La Mancha;Hombres;2011;1.066.598
Total;08 Castilla - La Mancha;Hombres;2010;1.059.149
Total;08 Castilla - La Mancha;Hombres;2009;1.051.668
Total;08 Castilla - La Mancha;Hombres;2008;1.033.131
Total;08 Castilla - La Mancha;Hombres;2007;995.668
Total;08 Castilla - La Mancha;Hombres;2006;970.867
Total;08 Castilla - La Mancha;Hombres;2005;950.976
Total;08 Castilla - La Mancha;Hombres;2004;925.694
Total;08 Castilla - La Mancha;Hombres;2003;907.656
Total;08 Castilla - La Mancha;Hombres;2002;888.987
Total;08 Castilla - La Mancha;Hombres;2001;873.287
Total;08 Castilla - La Mancha;Hombres;2000;860.657
Total;08 Castilla - La Mancha;Hombres;1999;856.604
Total;08 Castilla - La Mancha;Hombres;1998;851.354
Total;08 Castilla - La Mancha;Hombres;1997;""
Total;08 Castilla - La Mancha;Hombres;1996;849.076
Total;08 Castilla - La Mancha;Mujeres;2021;1.023.434
Total;08 Castilla - La Mancha;Mujeres;2020;1.021.481
Total;08 Castilla - La Mancha;Mujeres;2019;1.015.909
Total;08 Castilla - La Mancha;Mujeres;2018;1.012.608
Total;08 Castilla - La Mancha;Mujeres;2017;1.014.718
Total;08 Castilla - La Mancha;Mujeres;2016;1.018.909
Total;08 Castilla - La Mancha;Mujeres;2015;1.026.518
Total;08 Castilla - La Mancha;Mujeres;2014;1.034.731
Total;08 Castilla - La Mancha;Mujeres;2013;1.044.038
Total;08 Castilla - La Mancha;Mujeres;2012;1.052.240
Total;08 Castilla - La Mancha;Mujeres;2011;1.048.736
Total;08 Castilla - La Mancha;Mujeres;2010;1.039.224
Total;08 Castilla - La Mancha;Mujeres;2009;1.029.645
Total;08 Castilla - La Mancha;Mujeres;2008;1.009.969
Total;08 Castilla - La Mancha;Mujeres;2007;981.636
Total;08 Castilla - La Mancha;Mujeres;2006;961.394
Total;08 Castilla - La Mancha;Mujeres;2005;943.691
Total;08 Castilla - La Mancha;Mujeres;2004;923.187
Total;08 Castilla - La Mancha;Mujeres;2003;908.125
Total;08 Castilla - La Mancha;Mujeres;2002;893.051
Total;08 Castilla - La Mancha;Mujeres;2001;881.766
Total;08 Castilla - La Mancha;Mujeres;2000;873.604
Total;08 Castilla - La Mancha;Mujeres;1999;869.595
Total;08 Castilla - La Mancha;Mujeres;1998;864.798
Total;08 Castilla - La Mancha;Mujeres;1997;""
Total;08 Castilla - La Mancha;Mujeres;1996;863.453
Total;09 Cataluña;Total;2021;7.763.362
Total;09 Cataluña;Total;2020;7.780.479
Total;09 Cataluña;Total;2019;7.675.217
Total;09 Cataluña;Total;2018;7.600.065
Total;09 Cataluña;Total;2017;7.555.830
Total;09 Cataluña;Total;2016;7.522.596
Total;09 Cataluña;Total;2015;7.508.106
Total;09 Cataluña;Total;2014;7.518.903
Total;09 Cataluña;Total;2013;7.553.650
Total;09 Cataluña;Total;2012;7.570.908
Total;09 Cataluña;Total;2011;7.539.618
Total;09 Cataluña;Total;2010;7.512.381
Total;09 Cataluña;Total;2009;7.475.420
Total;09 Cataluña;Total;2008;7.364.078
Total;09 Cataluña;Total;2007;7.210.508
Total;09 Cataluña;Total;2006;7.134.697
Total;09 Cataluña;Total;2005;6.995.206
Total;09 Cataluña;Total;2004;6.813.319
Total;09 Cataluña;Total;2003;6.704.146
Total;09 Cataluña;Total;2002;6.506.440
Total;09 Cataluña;Total;2001;6.361.365
Total;09 Cataluña;Total;2000;6.261.999
Total;09 Cataluña;Total;1999;6.207.533
Total;09 Cataluña;Total;1998;6.147.610
Total;09 Cataluña;Total;1997;""
Total;09 Cataluña;Total;1996;6.090.040
Total;09 Cataluña;Hombres;2021;3.819.831
Total;09 Cataluña;Hombres;2020;3.826.964
Total;09 Cataluña;Hombres;2019;3.770.123
Total;09 Cataluña;Hombres;2018;3.730.326
Total;09 Cataluña;Hombres;2017;3.710.200
Total;09 Cataluña;Hombres;2016;3.697.368
Total;09 Cataluña;Hombres;2015;3.691.745
Total;09 Cataluña;Hombres;2014;3.701.740
Total;09 Cataluña;Hombres;2013;3.725.318
Total;09 Cataluña;Hombres;2012;3.741.628
Total;09 Cataluña;Hombres;2011;3.732.196
Total;09 Cataluña;Hombres;2010;3.724.515
Total;09 Cataluña;Hombres;2009;3.713.765
Total;09 Cataluña;Hombres;2008;3.661.028
Total;09 Cataluña;Hombres;2007;3.578.176
Total;09 Cataluña;Hombres;2006;3.543.706
Total;09 Cataluña;Hombres;2005;3.468.235
Total;09 Cataluña;Hombres;2004;3.366.329
Total;09 Cataluña;Hombres;2003;3.309.850
Total;09 Cataluña;Hombres;2002;3.201.029
Total;09 Cataluña;Hombres;2001;3.115.336
Total;09 Cataluña;Hombres;2000;3.058.628
Total;09 Cataluña;Hombres;1999;3.030.196
Total;09 Cataluña;Hombres;1998;2.997.637
Total;09 Cataluña;Hombres;1997;""
Total;09 Cataluña;Hombres;1996;2.971.789
Total;09 Cataluña;Mujeres;2021;3.943.531
Total;09 Cataluña;Mujeres;2020;3.953.515
Total;09 Cataluña;Mujeres;2019;3.905.094
Total;09 Cataluña;Mujeres;2018;3.869.739
Total;09 Cataluña;Mujeres;2017;3.845.630
Total;09 Cataluña;Mujeres;2016;3.825.228
Total;09 Cataluña;Mujeres;2015;3.816.361
Total;09 Cataluña;Mujeres;2014;3.817.163
Total;09 Cataluña;Mujeres;2013;3.828.332
Total;09 Cataluña;Mujeres;2012;3.829.280
Total;09 Cataluña;Mujeres;2011;3.807.422
Total;09 Cataluña;Mujeres;2010;3.787.866
Total;09 Cataluña;Mujeres;2009;3.761.655
Total;09 Cataluña;Mujeres;2008;3.703.050
Total;09 Cataluña;Mujeres;2007;3.632.332
Total;09 Cataluña;Mujeres;2006;3.590.991
Total;09 Cataluña;Mujeres;2005;3.526.971
Total;09 Cataluña;Mujeres;2004;3.446.990
Total;09 Cataluña;Mujeres;2003;3.394.296
Total;09 Cataluña;Mujeres;2002;3.305.411
Total;09 Cataluña;Mujeres;2001;3.246.029
Total;09 Cataluña;Mujeres;2000;3.203.371
Total;09 Cataluña;Mujeres;1999;3.177.337
Total;09 Cataluña;Mujeres;1998;3.149.973
Total;09 Cataluña;Mujeres;1997;""
Total;09 Cataluña;Mujeres;1996;3.118.251
Total;10 Comunitat Valenciana;Total;2021;5.058.138
Total;10 Comunitat Valenciana;Total;2020;5.057.353
Total;10 Comunitat Valenciana;Total;2019;5.003.769
Total;10 Comunitat Valenciana;Total;2018;4.963.703
Total;10 Comunitat Valenciana;Total;2017;4.941.509
Total;10 Comunitat Valenciana;Total;2016;4.959.968
Total;10 Comunitat Valenciana;Total;2015;4.980.689
Total;10 Comunitat Valenciana;Total;2014;5.004.844
Total;10 Comunitat Valenciana;Total;2013;5.113.815
Total;10 Comunitat Valenciana;Total;2012;5.129.266
Total;10 Comunitat Valenciana;Total;2011;5.117.190
Total;10 Comunitat Valenciana;Total;2010;5.111.706
Total;10 Comunitat Valenciana;Total;2009;5.094.675
Total;10 Comunitat Valenciana;Total;2008;5.029.601
Total;10 Comunitat Valenciana;Total;2007;4.885.029
Total;10 Comunitat Valenciana;Total;2006;4.806.908
Total;10 Comunitat Valenciana;Total;2005;4.692.449
Total;10 Comunitat Valenciana;Total;2004;4.543.304
Total;10 Comunitat Valenciana;Total;2003;4.470.885
Total;10 Comunitat Valenciana;Total;2002;4.326.708
Total;10 Comunitat Valenciana;Total;2001;4.202.608
Total;10 Comunitat Valenciana;Total;2000;4.120.729
Total;10 Comunitat Valenciana;Total;1999;4.066.474
Total;10 Comunitat Valenciana;Total;1998;4.023.441
Total;10 Comunitat Valenciana;Total;1997;""
Total;10 Comunitat Valenciana;Total;1996;4.009.329
Total;10 Comunitat Valenciana;Hombres;2021;2.491.394
Total;10 Comunitat Valenciana;Hombres;2020;2.492.121
Total;10 Comunitat Valenciana;Hombres;2019;2.465.342
Total;10 Comunitat Valenciana;Hombres;2018;2.446.383
Total;10 Comunitat Valenciana;Hombres;2017;2.436.203
Total;10 Comunitat Valenciana;Hombres;2016;2.448.748
Total;10 Comunitat Valenciana;Hombres;2015;2.460.805
Total;10 Comunitat Valenciana;Hombres;2014;2.475.081
Total;10 Comunitat Valenciana;Hombres;2013;2.534.539
Total;10 Comunitat Valenciana;Hombres;2012;2.546.404
Total;10 Comunitat Valenciana;Hombres;2011;2.541.780
Total;10 Comunitat Valenciana;Hombres;2010;2.542.949
Total;10 Comunitat Valenciana;Hombres;2009;2.537.898
Total;10 Comunitat Valenciana;Hombres;2008;2.508.433
Total;10 Comunitat Valenciana;Hombres;2007;2.432.162
Total;10 Comunitat Valenciana;Hombres;2006;2.394.307
Total;10 Comunitat Valenciana;Hombres;2005;2.332.283
Total;10 Comunitat Valenciana;Hombres;2004;2.251.812
Total;10 Comunitat Valenciana;Hombres;2003;2.213.010
Total;10 Comunitat Valenciana;Hombres;2002;2.136.323
Total;10 Comunitat Valenciana;Hombres;2001;2.066.487
Total;10 Comunitat Valenciana;Hombres;2000;2.020.667
Total;10 Comunitat Valenciana;Hombres;1999;1.993.258
Total;10 Comunitat Valenciana;Hombres;1998;1.970.767
Total;10 Comunitat Valenciana;Hombres;1997;""
Total;10 Comunitat Valenciana;Hombres;1996;1.962.181
Total;10 Comunitat Valenciana;Mujeres;2021;2.566.744
Total;10 Comunitat Valenciana;Mujeres;2020;2.565.232
Total;10 Comunitat Valenciana;Mujeres;2019;2.538.427
Total;10 Comunitat Valenciana;Mujeres;2018;2.517.320
Total;10 Comunitat Valenciana;Mujeres;2017;2.505.306
Total;10 Comunitat Valenciana;Mujeres;2016;2.511.220
Total;10 Comunitat Valenciana;Mujeres;2015;2.519.884
Total;10 Comunitat Valenciana;Mujeres;2014;2.529.763
Total;10 Comunitat Valenciana;Mujeres;2013;2.579.276
Total;10 Comunitat Valenciana;Mujeres;2012;2.582.862
Total;10 Comunitat Valenciana;Mujeres;2011;2.575.410
Total;10 Comunitat Valenciana;Mujeres;2010;2.568.757
Total;10 Comunitat Valenciana;Mujeres;2009;2.556.777
Total;10 Comunitat Valenciana;Mujeres;2008;2.521.168
Total;10 Comunitat Valenciana;Mujeres;2007;2.452.867
Total;10 Comunitat Valenciana;Mujeres;2006;2.412.601
Total;10 Comunitat Valenciana;Mujeres;2005;2.360.166
Total;10 Comunitat Valenciana;Mujeres;2004;2.291.492
Total;10 Comunitat Valenciana;Mujeres;2003;2.257.875
Total;10 Comunitat Valenciana;Mujeres;2002;2.190.385
Total;10 Comunitat Valenciana;Mujeres;2001;2.136.121
Total;10 Comunitat Valenciana;Mujeres;2000;2.100.062
Total;10 Comunitat Valenciana;Mujeres;1999;2.073.216
Total;10 Comunitat Valenciana;Mujeres;1998;2.052.674
Total;10 Comunitat Valenciana;Mujeres;1997;""
Total;10 Comunitat Valenciana;Mujeres;1996;2.047.148
Total;11 Extremadura;Total;2021;1.059.501
Total;11 Extremadura;Total;2020;1.063.987
Total;11 Extremadura;Total;2019;1.067.710
Total;11 Extremadura;Total;2018;1.072.863
Total;11 Extremadura;Total;2017;1.079.920
Total;11 Extremadura;Total;2016;1.087.778
Total;11 Extremadura;Total;2015;1.092.997
Total;11 Extremadura;Total;2014;1.099.632
Total;11 Extremadura;Total;2013;1.104.004
Total;11 Extremadura;Total;2012;1.108.130
Total;11 Extremadura;Total;2011;1.109.367
Total;11 Extremadura;Total;2010;1.107.220
Total;11 Extremadura;Total;2009;1.102.410
Total;11 Extremadura;Total;2008;1.097.744
Total;11 Extremadura;Total;2007;1.089.990
Total;11 Extremadura;Total;2006;1.086.373
Total;11 Extremadura;Total;2005;1.083.879
Total;11 Extremadura;Total;2004;1.075.286
Total;11 Extremadura;Total;2003;1.073.904
Total;11 Extremadura;Total;2002;1.073.050
Total;11 Extremadura;Total;2001;1.073.381
Total;11 Extremadura;Total;2000;1.069.420
Total;11 Extremadura;Total;1999;1.073.574
Total;11 Extremadura;Total;1998;1.069.419
Total;11 Extremadura;Total;1997;""
Total;11 Extremadura;Total;1996;1.070.244
Total;11 Extremadura;Hombres;2021;523.976
Total;11 Extremadura;Hombres;2020;526.288
Total;11 Extremadura;Hombres;2019;528.500
Total;11 Extremadura;Hombres;2018;531.255
Total;11 Extremadura;Hombres;2017;535.060
Total;11 Extremadura;Hombres;2016;539.239
Total;11 Extremadura;Hombres;2015;542.078
Total;11 Extremadura;Hombres;2014;545.616
Total;11 Extremadura;Hombres;2013;548.054
Total;11 Extremadura;Hombres;2012;550.324
Total;11 Extremadura;Hombres;2011;550.864
Total;11 Extremadura;Hombres;2010;549.721
Total;11 Extremadura;Hombres;2009;547.550
Total;11 Extremadura;Hombres;2008;546.192
Total;11 Extremadura;Hombres;2007;541.692
Total;11 Extremadura;Hombres;2006;540.352
Total;11 Extremadura;Hombres;2005;539.225
Total;11 Extremadura;Hombres;2004;534.704
Total;11 Extremadura;Hombres;2003;533.891
Total;11 Extremadura;Hombres;2002;533.539
Total;11 Extremadura;Hombres;2001;533.622
Total;11 Extremadura;Hombres;2000;531.144
Total;11 Extremadura;Hombres;1999;533.506
Total;11 Extremadura;Hombres;1998;530.994
Total;11 Extremadura;Hombres;1997;""
Total;11 Extremadura;Hombres;1996;530.500
Total;11 Extremadura;Mujeres;2021;535.525
Total;11 Extremadura;Mujeres;2020;537.699
Total;11 Extremadura;Mujeres;2019;539.210
Total;11 Extremadura;Mujeres;2018;541.608
Total;11 Extremadura;Mujeres;2017;544.860
Total;11 Extremadura;Mujeres;2016;548.539
Total;11 Extremadura;Mujeres;2015;550.919
Total;11 Extremadura;Mujeres;2014;554.016
Total;11 Extremadura;Mujeres;2013;555.950
Total;11 Extremadura;Mujeres;2012;557.806
Total;11 Extremadura;Mujeres;2011;558.503
Total;11 Extremadura;Mujeres;2010;557.499
Total;11 Extremadura;Mujeres;2009;554.860
Total;11 Extremadura;Mujeres;2008;551.552
Total;11 Extremadura;Mujeres;2007;548.298
Total;11 Extremadura;Mujeres;2006;546.021
Total;11 Extremadura;Mujeres;2005;544.654
Total;11 Extremadura;Mujeres;2004;540.582
Total;11 Extremadura;Mujeres;2003;540.013
Total;11 Extremadura;Mujeres;2002;539.511
Total;11 Extremadura;Mujeres;2001;539.759
Total;11 Extremadura;Mujeres;2000;538.276
Total;11 Extremadura;Mujeres;1999;540.068
Total;11 Extremadura;Mujeres;1998;538.425
Total;11 Extremadura;Mujeres;1997;""
Total;11 Extremadura;Mujeres;1996;539.744
Total;12 Galicia;Total;2021;2.695.645
Total;12 Galicia;Total;2020;2.701.819
Total;12 Galicia;Total;2019;2.699.499
Total;12 Galicia;Total;2018;2.701.743
Total;12 Galicia;Total;2017;2.708.339
Total;12 Galicia;Total;2016;2.718.525
Total;12 Galicia;Total;2015;2.732.347
Total;12 Galicia;Total;2014;2.748.695
Total;12 Galicia;Total;2013;2.765.940
Total;12 Galicia;Total;2012;2.781.498
Total;12 Galicia;Total;2011;2.795.422
Total;12 Galicia;Total;2010;2.797.653
Total;12 Galicia;Total;2009;2.796.089
Total;12 Galicia;Total;2008;2.784.169
Total;12 Galicia;Total;2007;2.772.533
Total;12 Galicia;Total;2006;2.767.524
Total;12 Galicia;Total;2005;2.762.198
Total;12 Galicia;Total;2004;2.750.985
Total;12 Galicia;Total;2003;2.751.094
Total;12 Galicia;Total;2002;2.737.370
Total;12 Galicia;Total;2001;2.732.926
Total;12 Galicia;Total;2000;2.731.900
Total;12 Galicia;Total;1999;2.730.337
Total;12 Galicia;Total;1998;2.724.544
Total;12 Galicia;Total;1997;""
Total;12 Galicia;Total;1996;2.742.622
Total;12 Galicia;Hombres;2021;1.297.301
Total;12 Galicia;Hombres;2020;1.300.153
Total;12 Galicia;Hombres;2019;1.298.964
Total;12 Galicia;Hombres;2018;1.300.609
Total;12 Galicia;Hombres;2017;1.304.392
Total;12 Galicia;Hombres;2016;1.309.809
Total;12 Galicia;Hombres;2015;1.317.054
Total;12 Galicia;Hombres;2014;1.325.657
Total;12 Galicia;Hombres;2013;1.335.122
Total;12 Galicia;Hombres;2012;1.343.328
Total;12 Galicia;Hombres;2011;1.349.591
Total;12 Galicia;Hombres;2010;1.350.547
Total;12 Galicia;Hombres;2009;1.349.603
Total;12 Galicia;Hombres;2008;1.344.268
Total;12 Galicia;Hombres;2007;1.337.159
Total;12 Galicia;Hombres;2006;1.333.797
Total;12 Galicia;Hombres;2005;1.330.703
Total;12 Galicia;Hombres;2004;1.324.987
Total;12 Galicia;Hombres;2003;1.324.385
Total;12 Galicia;Hombres;2002;1.316.721
Total;12 Galicia;Hombres;2001;1.314.078
Total;12 Galicia;Hombres;2000;1.312.391
Total;12 Galicia;Hombres;1999;1.312.881
Total;12 Galicia;Hombres;1998;1.310.415
Total;12 Galicia;Hombres;1997;""
Total;12 Galicia;Hombres;1996;1.320.347
Total;12 Galicia;Mujeres;2021;1.398.344
Total;12 Galicia;Mujeres;2020;1.401.666
Total;12 Galicia;Mujeres;2019;1.400.535
Total;12 Galicia;Mujeres;2018;1.401.134
Total;12 Galicia;Mujeres;2017;1.403.947
Total;12 Galicia;Mujeres;2016;1.408.716
Total;12 Galicia;Mujeres;2015;1.415.293
Total;12 Galicia;Mujeres;2014;1.423.038
Total;12 Galicia;Mujeres;2013;1.430.818
Total;12 Galicia;Mujeres;2012;1.438.170
Total;12 Galicia;Mujeres;2011;1.445.831
Total;12 Galicia;Mujeres;2010;1.447.106
Total;12 Galicia;Mujeres;2009;1.446.486
Total;12 Galicia;Mujeres;2008;1.439.901
Total;12 Galicia;Mujeres;2007;1.435.374
Total;12 Galicia;Mujeres;2006;1.433.727
Total;12 Galicia;Mujeres;2005;1.431.495
Total;12 Galicia;Mujeres;2004;1.425.998
Total;12 Galicia;Mujeres;2003;1.426.709
Total;12 Galicia;Mujeres;2002;1.420.649
Total;12 Galicia;Mujeres;2001;1.418.848
Total;12 Galicia;Mujeres;2000;1.419.509
Total;12 Galicia;Mujeres;1999;1.417.456
Total;12 Galicia;Mujeres;1998;1.414.129
Total;12 Galicia;Mujeres;1997;""
Total;12 Galicia;Mujeres;1996;1.422.275
Total;13 Madrid, Comunidad de;Total;2021;6.751.251
Total;13 Madrid, Comunidad de;Total;2020;6.779.888
Total;13 Madrid, Comunidad de;Total;2019;6.663.394
Total;13 Madrid, Comunidad de;Total;2018;6.578.079
Total;13 Madrid, Comunidad de;Total;2017;6.507.184
Total;13 Madrid, Comunidad de;Total;2016;6.466.996
Total;13 Madrid, Comunidad de;Total;2015;6.436.996
Total;13 Madrid, Comunidad de;Total;2014;6.454.440
Total;13 Madrid, Comunidad de;Total;2013;6.495.551
Total;13 Madrid, Comunidad de;Total;2012;6.498.560
Total;13 Madrid, Comunidad de;Total;2011;6.489.680
Total;13 Madrid, Comunidad de;Total;2010;6.458.684
Total;13 Madrid, Comunidad de;Total;2009;6.386.932
Total;13 Madrid, Comunidad de;Total;2008;6.271.638
Total;13 Madrid, Comunidad de;Total;2007;6.081.689
Total;13 Madrid, Comunidad de;Total;2006;6.008.183
Total;13 Madrid, Comunidad de;Total;2005;5.964.143
Total;13 Madrid, Comunidad de;Total;2004;5.804.829
Total;13 Madrid, Comunidad de;Total;2003;5.718.942
Total;13 Madrid, Comunidad de;Total;2002;5.527.152
Total;13 Madrid, Comunidad de;Total;2001;5.372.433
Total;13 Madrid, Comunidad de;Total;2000;5.205.408
Total;13 Madrid, Comunidad de;Total;1999;5.145.325
Total;13 Madrid, Comunidad de;Total;1998;5.091.336
Total;13 Madrid, Comunidad de;Total;1997;""
Total;13 Madrid, Comunidad de;Total;1996;5.022.289
Total;13 Madrid, Comunidad de;Hombres;2021;3.229.700
Total;13 Madrid, Comunidad de;Hombres;2020;3.243.793
Total;13 Madrid, Comunidad de;Hombres;2019;3.187.312
Total;13 Madrid, Comunidad de;Hombres;2018;3.147.872
